obj_id | object_name | category_name
1 | 002_master_chef_can | can
2 | 003_cracker_box | box
3 | 004_sugar_box | box
4 | 005_tomato_soup_can | can
5 | 006_mustard_bottle | bottle
6 | 007_tuna_fish_can | can
7 | 008_pudding_box | box
8 | 009_gelatin_box | box
9 | 010_potted_meat_can | can
10 | 011_banana | banana
11 | 019_pitcher_base | jug
12 | 021_bleach_cleanser | bottle
13 | 024_bowl | bowl
14 | 025_mug | mug
15 | 035_power_drill | power_drill
16 | 036_wood_block | wood_block
17 | 037_scissors | scissors
18 | 040_large_marker | marker
19 | 051_large_clamp | clamp
20 | 052_extra_large_clamp | clamp
21 | 061_foam_brick | foam_brick

